datetime,open,high,low,close,adj_close,volume
2015-07-06,38.0,39.75,36.0,36.709999084472656,36.514774322509766,5866600
2015-07-07,37.720001220703125,37.810001373291016,36.0,36.619998931884766,36.425254821777344,7359000
2015-07-08,36.34000015258789,36.36000061035156,34.529998779296875,34.70000076293945,34.515464782714844,5387700
2015-07-09,35.099998474121094,35.52000045776367,33.9900016784668,34.5,34.3165283203125,3760100
2015-07-10,34.65999984741211,35.189998626708984,33.97999954223633,34.689998626708984,34.505516052246094,4472800
2015-07-13,35.59000015258789,37.5,35.5,36.779998779296875,36.58440399169922,7626000
2015-07-14,36.9900016784668,37.7400016784668,36.599998474121094,36.93000030517578,36.733604431152344,4653300
2015-07-15,37.97999954223633,38.20000076293945,37.029998779296875,37.5099983215332,37.31052017211914,13072800
2015-07-16,38.81999969482422,39.970001220703125,38.08000183105469,38.630001068115234,38.424564361572266,21348500
2015-07-17,39.41999816894531,40.20000076293945,38.18000030517578,38.38999938964844,38.18584060668945,45720200
2015-07-20,41.459999084472656,42.54999923706055,39.79999923706055,40.470001220703125,40.25477981567383,52286500
2015-07-21,41.08000183105469,41.11000061035156,39.119998931884766,39.349998474121094,39.14073181152344,32954600
2015-07-22,39.349998474121094,39.720001220703125,38.099998474121094,38.38999938964844,38.18584060668945,25363900
2015-07-23,38.7400016784668,38.75,36.93000030517578,37.0099983215332,36.81317901611328,19250200
2015-07-24,37.709999084472656,38.0,36.90999984741211,37.0,36.8032341003418,14274300
2015-07-27,36.779998779296875,37.380001068115234,36.220001220703125,36.38999938964844,36.19647979736328,16179900
2015-07-28,37.189998626708984,38.0,36.83000183105469,37.599998474121094,37.40003967285156,18986000
2015-07-29,38.029998779296875,38.099998474121094,37.619998931884766,37.95000076293945,37.7481803894043,11788400
2015-07-30,38.040000915527344,39.0099983215332,37.71500015258789,38.45000076293945,38.24552536010742,13845100
2015-07-31,39.13999938964844,39.20000076293945,38.220001220703125,38.70000076293945,38.49419403076172,12480600
2015-08-03,39.25,39.880001068115234,38.900001525878906,39.38999938964844,39.18052291870117,15126600
2015-08-04,39.90999984741211,39.90999984741211,38.43000030517578,38.95000076293945,38.74286651611328,10992200
2015-08-05,39.70000076293945,39.880001068115234,39.16999816894531,39.27000045776367,39.06116485595703,9463100
2015-08-06,39.630001068115234,39.7400016784668,38.54999923706055,38.849998474121094,38.64339447021485,7324100
2015-08-07,39.040000915527344,39.22999954223633,38.599998474121094,39.130001068115234,38.92190933227539,8331300
2015-08-10,39.43000030517578,39.689998626708984,38.77000045776367,39.04999923706055,38.84233093261719,7998900
2015-08-11,38.93000030517578,39.279998779296875,38.720001220703125,38.849998474121094,38.64339447021485,8184000
2015-08-12,38.54999923706055,38.58000183105469,37.0099983215332,38.189998626708984,37.98690414428711,21350600
2015-08-13,38.400001525878906,38.4900016784668,37.439998626708984,37.619998931884766,37.4199333190918,7863500
2015-08-14,37.4900016784668,38.18000030517578,37.380001068115234,38.13999938964844,37.93717193603515,6271100
2015-08-17,38.29999923706055,38.75,37.70000076293945,38.72999954223633,38.52403259277344,4931700
2015-08-18,39.0,39.0,37.869998931884766,37.9900016784668,37.78797149658203,4678800
2015-08-19,37.869998931884766,38.099998474121094,37.029998779296875,37.189998626708984,36.99222183227539,6923400
2015-08-20,36.849998474121094,37.34000015258789,35.880001068115234,35.97999954223633,35.788658142089844,10645700
2015-08-21,35.56999969482422,36.11000061035156,33.83000183105469,34.25,34.0678596496582,16824100
2015-08-24,31.170000076293945,34.849998474121094,30.0,33.75,33.570518493652344,19676600
2015-08-25,35.439998626708984,35.459999084472656,32.70000076293945,32.70000076293945,32.52610397338867,15557100
2015-08-26,33.70000076293945,33.84000015258789,31.709999084472656,33.16999816894531,32.99360275268555,25350400
2015-08-27,33.869998931884766,34.77000045776367,33.15999984741211,34.619998931884766,34.435890197753906,18909600
2015-08-28,34.5099983215332,35.2599983215332,34.369998931884766,35.040000915527344,34.85365676879883,8344800
2015-08-31,35.5,35.5099983215332,34.77000045776367,35.0,34.813873291015625,12123800
2015-09-01,34.150001525878906,34.68000030517578,33.40999984741211,33.77000045776367,33.59041213989258,13376000
2015-09-02,34.599998474121094,35.08000183105469,33.834999084472656,35.06999969482422,34.88349533081055,7521000
2015-09-03,35.0099983215332,35.459999084472656,34.77000045776367,35.310001373291016,35.122222900390625,6683800
2015-09-04,34.709999084472656,34.720001220703125,33.779998779296875,34.290000915527344,34.10764694213867,7483100
2015-09-08,34.810001373291016,34.88999938964844,34.25,34.70000076293945,34.515464782714844,7674500
2015-09-09,34.91999816894531,34.95000076293945,33.880001068115234,34.369998931884766,34.187217712402344,10946900
2015-09-10,34.22999954223633,34.290000915527344,32.95000076293945,33.459999084472656,33.28205871582031,12134500
2015-09-11,33.27000045776367,33.59000015258789,32.61000061035156,33.54999923706055,33.37158203125,9184200
2015-09-14,33.70000076293945,33.95000076293945,33.20000076293945,33.77000045776367,33.59041213989258,7897700
2015-09-15,33.720001220703125,33.95000076293945,32.66999816894531,33.79999923706055,33.6202507019043,11874900
2015-09-16,33.459999084472656,34.060001373291016,33.36000061035156,33.77000045776367,33.59041213989258,7183900
2015-09-17,33.720001220703125,33.9900016784668,33.08000183105469,33.31999969482422,33.14280319213867,7846800
2015-09-18,32.900001525878906,33.779998779296875,32.54999923706055,32.91999816894531,32.744930267333984,16488100
2015-09-21,33.65999984741211,34.619998931884766,33.43000030517578,34.25,34.0678596496582,12736500
2015-09-22,33.939998626708984,34.099998474121094,33.189998626708984,33.349998474121094,33.17264175415039,8538000
2015-09-23,33.4900016784668,34.34000015258789,33.2599983215332,34.15999984741211,33.978336334228516,5405500
2015-09-24,34.0,34.06999969482422,33.380001068115234,33.90999984741211,33.72966766357422,6544500
2015-09-25,34.599998474121094,34.689998626708984,33.5,33.77000045776367,33.59041213989258,6566800
2015-09-28,33.68000030517578,33.68000030517578,32.154998779296875,32.25,32.078495025634766,7407300
2015-09-29,32.27000045776367,32.66999816894531,30.299999237060547,30.6299991607666,30.46710777282715,12008100
2015-09-30,31.200000762939453,31.280000686645508,30.63999938964844,31.040000915527344,30.874929428100582,13672000
2015-10-01,30.81999969482422,31.586999893188477,30.75,31.479999542236328,31.312589645385746,9657000
2015-10-02,30.81999969482422,32.86000061035156,30.75,32.83000183105469,32.65541458129883,7609800
2015-10-05,32.95000076293945,33.02000045776367,32.380001068115234,32.66999816894531,32.49625778198242,6119100
2015-10-06,32.90999984741211,32.90999984741211,31.780000686645508,31.86000061035156,31.690570831298828,7409800
2015-10-07,32.310001373291016,32.47100067138672,31.520000457763672,32.380001068115234,32.20780563354492,6969600
2015-10-08,32.439998626708984,32.45000076293945,31.09000015258789,31.670000076293945,31.50157928466797,9281500
2015-10-09,31.690000534057617,32.45000076293945,31.40999984741211,32.060001373291016,31.88950538635254,5911400
2015-10-12,32.189998626708984,32.66999816894531,32.099998474121094,32.630001068115234,32.45647430419922,3915500
2015-10-13,32.599998474121094,33.47999954223633,32.34000015258789,33.220001220703125,33.043338775634766,8787700
2015-10-14,33.400001525878906,34.459999084472656,33.400001525878906,34.04999923706055,33.868919372558594,8198300
2015-10-15,34.45000076293945,34.720001220703125,34.15999984741211,34.619998931884766,34.435890197753906,9103200
2015-10-16,34.75,35.04999923706055,33.95000076293945,34.290000915527344,34.10764694213867,5390700
2015-10-19,34.43000030517578,34.904998779296875,33.790000915527344,34.84000015258789,34.654720306396484,5855700
2015-10-20,34.79999923706055,34.9900016784668,34.59000015258789,34.869998931884766,34.6845588684082,6084200
2015-10-21,34.75,34.79999923706055,32.880001068115234,33.83000183105469,33.65009307861328,9054500
2015-10-22,34.43000030517578,35.25,34.2599983215332,34.790000915527344,34.60498809814453,8735500
2015-10-23,35.72999954223633,35.75,34.79999923706055,34.9900016784668,34.80392837524414,8909100
2015-10-26,36.04999923706055,36.59000015258789,35.51499938964844,36.439998626708984,36.246212005615234,11554600
2015-10-27,36.38999938964844,36.39400100708008,35.310001373291016,35.939998626708984,35.748870849609375,8502400
2015-10-28,36.209999084472656,36.650001525878906,35.810001373291016,36.52000045776367,36.32578659057617,11634300
2015-10-29,34.72999954223633,36.5,34.5,35.90999984741211,35.719032287597656,25137300
2015-10-30,35.63999938964844,36.4900016784668,35.2400016784668,36.0099983215332,35.81849670410156,13409200
2015-11-02,35.58000183105469,37.40999984741211,35.45000076293945,36.9900016784668,36.79328918457031,11254900
2015-11-03,37.04999923706055,38.439998626708984,37.0,37.900001525878906,37.698448181152344,12025200
2015-11-04,38.45000076293945,38.52000045776367,37.33000183105469,37.599998474121094,37.40003967285156,12226800
2015-11-05,37.81999969482422,37.97999954223633,36.65999984741211,36.709999084472656,36.514774322509766,9068900
